qid,question,choices,reason,predict,label
val_0011,"Đoạn thông tin:
[1] Tiêu đề: Cuba
Nội dung: II. Chính trị
2. Liên đoàn thương mại

Có các liên đoàn kinh tế tại Cuba, với số thành viên lên tới 98% nhân lực hòn đảo này. Các liên đoàn không đăng ký với bất kỳ một cơ quan nhà nước nào, và tự lấy kinh phí hoạt động từ nguồn đóng góp thành viên hàng tháng. Những người ủng hộ họ cho rằng các viên chức liên đoàn được bầu lên trên cơ sở tự do, và có nhiều quan điểm chính trị bên trong mỗi liên đoàn. Tuy nhiên, tất cả các liên đoàn đều là một phần của một tổ chức được gọi là Confederación de Trabajadores Cubanos (Hiệp hội Công nhân Cuba, CTC), hội này thực sự có những mối quan hệ mật thiết với nhà nước và Đảng Cộng sản. Những người ủng hộ cho rằng CTC cho phép công nhân chuyển ý kiến lên chính phủ; những người đối lập lại cho rằng chính phủ sử dụng nó để kiểm soát các công đoàn thương mại và chỉ định các thành viên lãnh đạo công đoàn. Quyền tự do bày tỏ ý kiến của công nhân cũng là một vấn đề được tranh luận. Những người ủng hộ hệ thống cho rằng những ý kiến của công nhân trên thực tế đã hình thành nên chính sách của chính phủ trong nhiều hoàn cảnh, như đề xuất cải cách thuế năm 1993, trong khi phe đối lập, đưa ra những nghiên cứu của các tổ chức lao động quốc tế cho thấy công nhân bị buộc phải thề nguyền trung thành với các lý tưởng của Đảng Cộng sản, và cho rằng chính phủ chi phối một cách có hệ thống và cản trở các nhà hoạt động công đoàn, trong khi vẫn ngăn cấm việc thành lập các liên đoàn thương mại độc lập (không thuộc CTC), rằng các lãnh đạo các liên đoàn độc lập đã bị bỏ tù, và rằng quyền đình công của công nhân không được ghi nhận trong luật.

3. Quan hệ đối ngoại

3.1. Việt Nam

Quan hệ ngoại giao giữa hai nước vô cùng đặc biệt. Ngày 12 tháng 9 năm 1973, Fidel Castro là vị nguyên thủ nước ngoài đầu tiên và duy nhất thăm vùng giải phóng miền Nam khi chiến tranh chưa kết thúc. Cũng trong chuyến thăm lần đầu tiên này, Cuba đã tặng Việt Nam 5 công trình kinh tế - xã hội với tổng trị giá khoảng 80 triệu USD bao gồm: khách sạn Thắng Lợi (Hồ Tây, Hà Nội), Bệnh viện Việt Nam - Cuba (Đồng Hới, Quảng Bình), đường Xuân Mai, trại bò giống Ba Vì, Xí nghiệp gà Lương Mỹ; tặng bò giống, gà giống và chi hơn 6 triệu USD để mua thiết bị hiện đại, đồng thời cử chuyên gia về cầu đường sang Việt Nam tham gia cùng bộ đội Trường Sơn mở rộng Đường Trường Sơn, và giúp đào tạo trên 1.000 sinh viên Việt Nam ở trình độ đại học và cao học...Cuba là nước Mỹ Latinh đầu tiên và cũng là một trong những nước sớm nhất trên thế giới công nhận chính thức Mặt trận Dân tộc Giải phóng miền Nam Việt Nam. Cơ quan đại diện thường trú của Mặt trận Dân tộc Giải phóng miền Nam Việt Nam tại La Habana (Ban đầu tòa đại sứ này đặt tạm tại một biệt thự ở khu phố lao động Kohly, nhưng sau được Chính phủ Cuba cấp thêm một biệt thự sân vườn rất lớn tại Quinta Avenida, đại lộ số 5 dài nhất và đẹp nhất thủ đô La Habana) được hưởng đầy đủ quy chế ngoại giao. Sau khi Chính phủ Cách mạng lâm thời Cộng hòa Miền Nam Việt Nam thành lập, cơ quan này nhanh chóng được chuyển thành đại sứ quán miền Nam Việt Nam. Thời chiến khốc liệt, thông cảm hoàn cảnh khó khăn của nước bạn, Thủ tướng Fidel Castro bao cấp toàn phần. Tất cả từ nhà cửa, xe cộ, trang thiết bị làm việc, ăn ở, chi phí ngoại giao, kể cả lương bổng, phụ cấp của cán bộ, nhân viên sứ quán đều được Cuba bảo đảm chu đáo.Sau Sự kiện 30 tháng 4 năm 1975, hầu hết các nước đều dừng viện trợ không hoàn lại cho Việt Nam, riêng Cuba là một trong số ít các nước tiếp tục viện trợ cho Việt Nam 10 năm tiếp theo từ 1975-1985.

3.2. Mỹ

Ngày 17 tháng 12 năm 2014, qua vai trò trung gian của Tòa Thánh Vatican, Chủ tịch Cuba Raul Castro và Tổng thống Hoa Kỳ Barack Obama tuyên bố đã đạt được một thỏa thuận về việc bình thường hóa quan hệ ngoại giao giữa hai nước sau hơn 50 năm gián đoạn. Tuy nhiên, việc bình thường hóa quan hệ còn phải trải qua một giai đoạn dài phía trước vì nó phải nhận được sự phê chuẩn từ lưỡng viện Quốc hội Hoa Kỳ. Tuy nhiên, tổng thống kế nhiệm ông Obama là Donald Trump vào năm 2016 đã hủy bỏ chính sách thân thiện của người tiền nhiệm, và tiếp tục duy trì cấm vận đối với Cuba.

III. Phân chia hành chính

Cuba có ba cấp hành chính là trung ương, tỉnh (provincias) và hạt (municipios). Cấp tỉnh có 14 đơn vị, cấp hạt có 169 đơn vị. Có một hạt đặc biệt, được xếp ngang với cấp tỉnh, đó là Isla de la Juventud. Trước kia Cuba chỉ có sáu tỉnh: Pinar del Río, Habana, Matanzas, Las Villas, Camagüey và Oriente. Cách phân chia hành chính hiện nay rất giống với kiểu tỉnh quân sự Tây Ban Nha trong những cuộc chiến tranh giành độc lập của Cuba, khi hầu hết những vùng có nhiều rắc rối đều được chia nhỏ.

IV. Địa lý

Cuba là một quần đảo nằm tại Biển Caribbean, với tọa độ địa lý 21°3N, 80°00W. Cuba là hòn đảo chính, được bao quanh bởi bốn nhóm đảo lớn. Chúng gồm Colorados, Camagüey, Jardines de la Reina và Canarreos. Hòn đảo chính Cuba chiếm hầu hết diện tích đất nước (105.006 km² hay 40.543 dặm vuông) và là hòn đảo lớn thứ 17 trên thế giới theo diện tích. Hòn đảo lớn thứ hai tại Cuba là Đảo Thanh niên (Isla de la Juventud), tên cũ là Đảo Thông (Isla de la Pinos) ở phía đông nam, với diện tích 3056 km² (1180 dặm vuông). Cuba có tổng diện tích đất liền 110.860 km².
Hòn đảo chính gồm chủ yếu các đồng bằng phẳng tới hơi dốc. Ở cực phía đông nam Sierra Maestra, một rặng núi dốc đứng với điểm cao nhất là Pico Real del Turquino 2.005 mét (6.578 ft). Khí hậu địa phương là nhiệt đới, dù được điều tiết ôn hòa bởi gió mậu dịch. Nói chúng (với biến thiên theo địa phương), có một mùa khô từ tháng 11 tới tháng 4, và một mùa mưa từ tháng 5 tới tháng 10. Nhiệt độ trung bình 21 °C vào tháng 1 và 27 °C vào tháng 7. Cuba nằm trên đường đi của các cơn bão và chúng thường xảy ra nhất trong khoảng từ tháng 9 tới tháng 10. La Habana là thành phố lớn nhất và thủ đô Cuba; các thành phố lớn khác gồm Santiago de Cuba và Camagüey. Những thị trấn khác gồm Baracoa từng là khu định cư đầu tiên của người Tây Ban Nha tại Cuba, Trinidad, và một di sản thế giới của UNESCO, and Bayamo.

V. Xã hội
1. Giáo dục

Về lịch sử, Cuba luôn có tỷ lệ giáo dục và biết chữ cao nhất Mỹ Latinh, cả trước và sau thời kỳ cách mạng. Giáo dục là miễn phí đối với mọi công dân Cuba gồm cả giáo dục đại học. Các định chế giáo dục tư nhân không được phép hoạt động. Phổ cập giáo dục áp dụng với mọi đứa trẻ từ sáu tuổi tới hết mức giáo dục cấp hai căn bản (thường là 15 tuổi) và tất cả học sinh, không cần biết giới tính và sắc tộc, đều mặc đồng phục của trường với màu sắc thể hiện cấp học. Trong suốt quá trình học, học sinh không phải trả một khoản phí nào, từ tiền may đồng phục, tiền mua sắm sách vở, giấy bút và còn được nuôi ăn một bữa hoặc cả ngày (tùy theo từng trường). Do vậy, gần như không có một trẻ em Cuba nào bị thất học, dù đó là ở nơi nông thôn xa xôi.
Giáo dục tiểu học kéo dài sáu năm, giáo dục trung học cơ sở được chia thành mức căn bản và tiền đại học. Giáo dục cao học được tiến hành tại các trường đại học, các viện, các viện sư phạm và các viện bách khoa. Đại học La Habana được thành lập năm 1728 và có một số trường cao đẳng cũng như đại học khác. Bộ Giáo dục Cao học Cuba cũng điều hành chương trình Giáo dục Từ xa mở các lớp buổi chiều và buổi tối tại các vùng nông thôn cho các lao động nông nghiệp. Giáo dục được đề cao cả về mặt chính trị và ý thức hệ, và sinh viên bậc cao học được chờ đợi sẽ là người thực hiện các mục tiêu do chính phủ Cuba đề ra.
Câu hỏi: Theo ngữ cảnh, nhận định nào sau đây chính xác về vai trò của Confederación de Trabajadores Cubanos (CTC) trong chính trị Cuba?","A. CTC là công cụ để chính phủ kiểm soát công đoàn và chỉ định lãnh đạo.
B. CTC cho phép công nhân bày tỏ ý kiến lên chính phủ thông qua các đại diện được bầu.
C. CTC là tổ chức độc lập không có mối quan hệ chính trị với Đảng Cộng sản Cuba.
D. CTC cho phép thành lập các liên đoàn thương mại độc lập ngoài hệ thống của mình.","Theo ngữ cảnh, Confederación de Trabajadores Cubanos (CTC) là một tổ chức có mối quan hệ mật thiết với nhà nước và Đảng Cộng sản Cuba. Điều này cho thấy CTC không phải là một tổ chức độc lập mà có sự gắn kết chặt chẽ với chính quyền. Ngoài ra, thông tin cũng đề cập đến việc chính phủ sử dụng CTC để kiểm soát các công đoàn thương mại và chỉ định các thành viên lãnh đạo công đoàn. Do đó, nhận định A là chính xác.",A,B
val_0024,Xét hàm số $ h(x) = x^4 - 4x^3 + 6x^2 - 4x + 1 $. Giả sử $ k(x) $ là đạo hàm bậc hai của $ h(x) $. Hàm số $ h(x) $ có bao nhiêu điểm uốn?,"A. 0
B. 1
C. 2
D. 3
E. 4
F. 5
G. 6
H. 7
I. 8
J. 9","Để tìm số điểm uốn của hàm số $h(x)$, ta cần tìm đạo hàm bậc hai $k(x)$ và xác định số nghiệm của phương trình $k(x) = 0$.

Ta có: $h(x) = x^4 - 4x^3 + 6x^2 - 4x + 1$

Đạo hàm bậc nhất của $h(x)$ là: $h'(x) = 4x^3 - 12x^2 + 12x - 4$

Đạo hàm bậc hai của $h(x)$ là: $k(x) = h''(x) = 12x^2 - 24x + 12$

Để tìm số điểm uốn, ta cần giải phương trình $k(x) = 0$: $12x^2 - 24x + 12 = 0$

Chia cả hai vế cho 12, ta được: $x^2 - 2x + 1 = 0$

Phương trình này có thể được viết lại như sau: $(x - 1)^2 = 0$

Vậy, phương trình $k(x) = 0$ chỉ có một nghiệm kép tại $x = 1$.

Do đó, hàm số $h(x)$ chỉ có một điểm uốn tại $x = 1$.",B,A
val_0025,Công thức hoá học của oxit có thành phần phần trăm của S là 40%:,"A. SO2.
B. SO3.
C. SO.
D. S2O4.","Để tìm công thức hóa học của oxit có thành phần phần trăm của S là 40%, ta cần tính toán tỷ lệ mol của S và O trong hợp chất. Giả sử công thức hóa học của oxit là SnOm, với n và m là số nguyên dương. Theo dữ liệu, %S = 40%, do đó %O = 60%. Khối lượng mol của S là 32 g/mol và khối lượng mol của O là 16 g/mol. Từ đó, ta có thể thiết lập phương trình dựa trên tỷ lệ phần trăm khối lượng của S và O trong hợp chất. Sau khi giải phương trình, ta tìm được tỷ lệ mol của S và O, từ đó xác định được công thức hóa học của oxit.",A,B
val_0029,"Theo thông tin được cung cấp, tỉnh nào sau đây đã được sáp nhập vào tỉnh Gia Lai để hình thành tỉnh Gia Lai hiện tại?","A. Bình Định
B. Đắk Lắk
C. Quảng Ngãi
D. Phú Yên","Để trả lời câu hỏi này, chúng ta cần xem xét lịch sử hành chính của tỉnh Gia Lai. Tỉnh Gia Lai hiện tại được hình thành từ việc sáp nhập hai tỉnh cũ là Gia Lai và Kon Tum vào năm 1976. Tuy nhiên, trong số các lựa chọn được đưa ra, không có Kon Tum mà thay vào đó là các tỉnh khác như Bình Định, Đắk Lắk, Quảng Ngãi và Phú Yên. Vì vậy, chúng ta cần loại bỏ các lựa chọn không liên quan đến lịch sử hình thành tỉnh Gia Lai. Trong số các lựa chọn, chỉ có Đắk Lắk là tỉnh nằm gần khu vực Tây Nguyên, nơi có tỉnh Gia Lai và Kon Tum. Do đó, có thể suy đoán rằng Đắk Lắk là tỉnh đã được sáp nhập vào tỉnh Gia Lai để hình thành tỉnh Gia Lai hiện tại.",B,A
val_0030,"Trong phong trào chính trị quốc tế, đảng cánh Tả được coi là đảng có xu hướng","A. Bảo thủ, trì trệ, không cải cách, đại diện cho giai cấp, tầng lớp quý tộc, tư sản lớp trên
B. Tiến bộ, dân chủ, tự do, đại diện cho giai cấp nông dân, bình dân, vô sản lớp dưới","Để trả lời câu hỏi này, chúng ta cần hiểu rõ về định nghĩa và đặc điểm của các đảng cánh tả trong phong trào chính trị quốc tế. Đảng cánh tả thường được liên kết với các giá trị như tiến bộ, dân chủ, tự do và đại diện cho quyền lợi của giai cấp lao động, nông dân và các tầng lớp xã hội thấp hơn. Họ thường ủng hộ các chính sách xã hội, cải cách và phân phối lại tài nguyên để giảm bất bình đẳng xã hội. Ngược lại, đảng cánh hữu thường được liên kết với các giá trị bảo thủ, ủng hộ thị trường tự do và ít can thiệp vào hoạt động kinh tế. Vì vậy, dựa trên định nghĩa và đặc điểm của đảng cánh tả, chúng ta có thể kết luận rằng họ đại diện cho giai cấp nông dân, bình dân, vô sản lớp dưới và ủng hộ các giá trị tiến bộ, dân chủ, tự do.",B,A
val_0032,"Đoạn thông tin:
[1] Tiêu đề: địa điểm giao dịch và thời gian làm việc
Nội dung: Để tìm thông tin về địa chỉ và thời gian làm việc của Điểm giao dịch VNPT Vinaphone anh chị vui lòng truy cập vào đường link sau: https://vnpt.com.vn/ho-tro/diem-giao-dich
Hoặc có thể liên hệ số Hotline 18001091.

[2] Tiêu đề: trả trước trả sau
Nội dung: buổi trưa có làm việc không?;Điểm giao dịch quận thanh xuân;Cửa hàng Vinaphone;chủ nhật có làm việc không;Địa điểm VNPT;Mình có nghỉ trưa không bạn?;Em muốn qua vinacenter;báo sự cố ở TPHCM thì gọi số nào ạ;Thế bây giờ điểm giao dịch ở đâu vậy em;Cho mình xin địa chỉ gần nhất;Vnpt nào ở phạm văn đồng ạ;Cửa hàng;Cho mình hỏi địa chỉ cửa hàng dịch vụ vnpt Gần đường 30 tháng 4, Đà Nẵng là ở đâu vậy ạ;Đại lý ở Nguyễn Du làm việc tới mấy giờ;Lịch làm việc vinaphone bù nho;Cho e hỏi chi nhánh để e đóng tiền internet;Cửa hàng giao dịch ở trảng dài địa chỉ là bao nhiêu;chi nhanh vinaphone;Điểm bán sim data 4g;Điểm giao dịch khu vực quận 2 thành phố hồ chí minh;Địa điểm phòng giao dịch ở đâu ạ?;cho đia chi lien he de lam thu tuc thanh ly dien thoai co dinh o tphcm Q5;chi nhánh vinaphone;Tôi đang ở Hoàng Đạo Thuý cho t điểm vinaphone gần nhất;mình muốn tìm chi nhánh cửa hàng vnpt tại Quận 7 tp HCM;Cửa hangd giao dịch timecity ở đâu;Tiệm mở tới mấy h v ạ;Xin chào. Bạn có điểm bán hàng nào trong khu vực không? Bắc Mỹ An, Ngũ Hành Sơn, Đà Nẵng;Cửa hàng vinaphone gần Thường tín nhất là ở đây ạ;Địa chỉ để đăng ký internet;Cửa hàng giao dịch vũ thư thái bình làm việc đến mấy giờ;Tôi cần hỏi địa chỉ đại lý sim thẻ vinaphone tại hoàng mai;Cho mình hỏi của hàng vi na phon. Chủ nhật có làm việc k;Điểm giao dịch vina;Xin chào. Bạn có điểm bán hàng nào trong khu vực không? Bắc Mỹ An, Ngũ Hành Sơn, Đà Nẵng;Bên mình làm việc đến mấy giờ ạ;Mở cửa từ thứ mấy đến thứ mấy;Ở bát tràng huyện gia lâm có đại lý ko;trung tâm có làm ngoài giờ hành chính ko;Địa chỉ của hệ thống Vinaphone;Cho tôi số liên hệ vnpt đà nẵng;Mình đến tổng công ty vinaphone ở đường Xuân Tảo để làm thủ tục thay đổi thoing tin thuê bao được không?;Chi nhánh quận 2;Ad ơi cho em hỏi địa chỉ các điểm gd vinaphone có hỗ trợ đk esim ở q9 là gì v ạ;địa diem giao dich 9 của ban la gi;Tôi muốn biết lịch làm việc của vnpt;thời gian làm việc;Trung tâm Vinaphone nằm ở vị trí nào vậy?;Địa chỉ VNPT;vnpt có làm việc thứ 7 không;Cho m hỏi địa điểm của vinaphone gần;Và vina hải phòng thì ở chỗ nào;Mình muốn làm lại số điện thoại của mình nhưng mình không biết địa điểm nào gần đây;phòng giao dịch có làm việc thứ 7 không;có quầy giao dịch nào gần đây không bạn;địa chỉ các điểm giao dịch quận 11;Cho hỏi số điện thoại bán hàng của vnpt Hà nội;Đại lý ở bình tân;có cửa hàng nào gần đây không nhỉ;Tôi muốn tìm cơ sở Vinaphone tại quảng xương Thanh Hóa;Vinaphone quạn 8;Cho mình xin địa chỉ đại lý vinaphone tại quận Bắc Từ Liêm, thành phố Hà Nội;Vinaphone mở cửa lúc mấy giờ?;Cửa hàng gần Tân Sơn nhì Tân phú;Tôi ở p12 quận Tân bình , anh,chi cho xin 1 địa chỉ chăm sóc khách hàng gần p12 quận tân bình được không;H e muốn ra cửa hàng gần nhất thì còn làm không ạ;17h cửa hàng vnpt còn mở cửa không?;Tôi muốn cắt Sdt bàn và Internet thì tôi ra địa chỉ nào tại tphcm;Vinaphone gần nhất;Có những điểm giao dịch nào ở tân hội Đức Trọng Lâm Đồng không?;chi nhánh;những điểm giao dịch nào làm vào thứ 7;Điểm giao dịch gần nhất;điểm giao dịch vnpt đóng cửa lúc mấy giờ?;Trung tâm dịch vụ ở khu Cầu Giấy;VNPT Bắc NINH có bao nhiêu điểm giao dịch và trạm BTS;Thong tin diem giao dich q10;Tôi đang sử dụng đt bàn và Internet, hiện nay tôi muốn đóng dịch vụ thì ra địa chỉ nào tại tphcm;cho mình hỏi cửa hàng vinaphone làm việc từ mấy h đến mấy h;điểm giao dịch quảng bình;Giờ làm việc của vnpt;quầy giờ giấc mở cửa ntn nhỉ;xin cho biết địa điêm đăng ký thông tin thuê bao gần 16 Phan Chu trinh Hà Nội;Của hàng mấy h đóng cửa v ạ;Số điện thoại phòng giao dich 80 nguyễn du;cho mình hỏi vnpt thị trấn lang chánh ở số nhà mấy vậy ạ;Thời gian làm việc của Vinaphone;thông tin liên hệ khu vực thường xuân tinht thanh hóa;tôi muốn tìm cửa hàng vnpt;thời gian làm việc cửa hàng gd số 1 nguyễn trãi buổi chiều tới mấy giờ;Ccho hii dia chi giao dich vinaphone vung tau phuong 10 ạ;Mình ở huyện Krông nô tỉnh đắk nông thì đến đâu đăng ký ạ;điểm giao dịch VNPT tại Đông Anh - Hà Nội;địa chỉ điểm giao dịch tây mỗ;cửa hàng mình còn mở dưới ko ạ;Điểm giao dịch là các cửa hàng vianaphon hay phải ra vinaphone của huyện vậy;vnpt đà nẵng, nguyễn du số đt;Xin hỏi đại lý vnpt tại quận Tân Phú;cho tôi danh sách điểm giao dịch;Điểm giao dịch VinaPhone tại Hà Nội;cho xin địa chỉ vnpt ở tân trụ .long an;Địa chỉ điểm giao dịch;điểm giao dịch ở đà lạt

[3] Tiêu đề: mua sim
Nội dung: Để mua sim của Vinaphone, anh/chị vui lòng truy cập link https://digishop.vnpt.vn/sim-so?tab=c320&aff=DIGI000001 hoặc ra các Điểm giao dịch của Vinaphone để có thể chọn số, xem giá sim và thời hạn cam kết (nếu có), chọn và đăng ký gói cước phù hợp cho thuê bao.
Với sim Ezcom, anh/chị đến các Điểm giao dịch để được hỗ trợ mua sim.
Địa chỉ điểm giao dịch: https://vnpt.com.vn/ho-tro/diem-giao-dich
Nếu anh/chị có thắc mắc gì khác, em xin sẵn sàng hỗ trợ ạ.
Câu hỏi: Theo nội dung được cung cấp, phương thức nào sau đây KHÔNG được hỗ trợ để mua sim Ezcom của Vinaphone?","A. Truy cập website https://digishop.vnpt.vn/sim-so để chọn số và gói cước
B. Đến trực tiếp các Điểm giao dịch Vinaphone
C. Gọi tổng đài 18001091 để yêu cầu gửi sim qua bưu điện
D. Sử dụng dịch vụ trực tuyến qua ứng dụng di động","Theo nội dung được cung cấp, để mua sim Ezcom của Vinaphone, khách hàng cần đến các Điểm giao dịch của Vinaphone để được hỗ trợ mua sim. Không có thông tin nào về việc mua sim Ezcom qua website, tổng đài, hoặc ứng dụng di động.",C,A
